Epoch: 0 
itr: 168, G_loss : -0.001, D_loss_real : +0.897, D_loss_fake : +0.023
itr: 169, G_loss : +0.193, D_loss_real : +0.485, D_loss_fake : +0.737
itr: 170, G_loss : +0.003, D_loss_real : +0.108, D_loss_fake : +1.202
itr: 171, G_loss : +0.460, D_loss_real : +0.497, D_loss_fake : +0.025
itr: 172, G_loss : +0.011, D_loss_real : +1.345, D_loss_fake : +1.221
itr: 173, G_loss : -0.430, D_loss_real : +0.333, D_loss_fake : +1.511
itr: 174, G_loss : -0.246, D_loss_real : +0.000, D_loss_fake : +1.294
itr: 175, G_loss : -0.040, D_loss_real : +0.349, D_loss_fake : +0.977
itr: 176, G_loss : +0.264, D_loss_real : +0.399, D_loss_fake : +0.000
itr: 177, G_loss : +0.256, D_loss_real : +0.267, D_loss_fake : +0.438
itr: 178, G_loss : -0.886, D_loss_real : +2.496, D_loss_fake : +0.081
itr: 179, G_loss : +0.168, D_loss_real : +1.155, D_loss_fake : +0.000
itr: 180, G_loss : -0.680, D_loss_real : +2.543, D_loss_fake : +0.000
itr: 181, G_loss : -0.569, D_loss_real : +1.723, D_loss_fake : +0.000
itr: 182, G_loss : -0.178, D_loss_real : +1.051, D_loss_fake : +0.000
itr: 183, G_loss : -0.563, D_loss_real : +2.681, D_loss_fake : +0.081
itr: 184, G_loss : -0.432, D_loss_real : +0.000, D_loss_fake : +2.259
itr: 185, G_loss : +0.075, D_loss_real : +0.544, D_loss_fake : +0.652
itr: 186, G_loss : +0.031, D_loss_real : +1.770, D_loss_fake : +0.013
itr: 187, G_loss : +0.236, D_loss_real : +0.531, D_loss_fake : +0.377
itr: 188, G_loss : -0.389, D_loss_real : +2.198, D_loss_fake : +0.131
itr: 189, G_loss : -0.233, D_loss_real : +0.203, D_loss_fake : +1.652
itr: 190, G_loss : +0.483, D_loss_real : +0.905, D_loss_fake : +0.404
itr: 191, G_loss : -0.443, D_loss_real : +6.091, D_loss_fake : +0.291
itr: 192, G_loss : -0.699, D_loss_real : +0.018, D_loss_fake : +1.981
itr: 193, G_loss : -0.324, D_loss_real : +0.647, D_loss_fake : +0.953
itr: 194, G_loss : -0.274, D_loss_real : +1.805, D_loss_fake : +0.155
itr: 195, G_loss : -0.369, D_loss_real : +0.120, D_loss_fake : +1.134
itr: 196, G_loss : -0.214, D_loss_real : +0.958, D_loss_fake : +0.550
itr: 197, G_loss : -0.373, D_loss_real : +0.126, D_loss_fake : +1.589
itr: 198, G_loss : -0.344, D_loss_real : +0.939, D_loss_fake : +0.920
itr: 199, G_loss : +0.130, D_loss_real : +0.987, D_loss_fake : +0.220
itr: 200, G_loss : +0.062, D_loss_real : +0.735, D_loss_fake : +0.000
itr: 201, G_loss : +0.148, D_loss_real : +0.491, D_loss_fake : +0.411
itr: 202, G_loss : -0.435, D_loss_real : +0.090, D_loss_fake : +1.882
itr: 203, G_loss : +0.151, D_loss_real : +0.800, D_loss_fake : +0.544
itr: 204, G_loss : +0.212, D_loss_real : +0.576, D_loss_fake : +0.544
itr: 205, G_loss : -0.089, D_loss_real : +1.541, D_loss_fake : +0.000
itr: 206, G_loss : -0.304, D_loss_real : +0.412, D_loss_fake : +0.948
itr: 207, G_loss : +0.017, D_loss_real : +0.747, D_loss_fake : +0.066
itr: 208, G_loss : +0.020, D_loss_real : +0.819, D_loss_fake : +0.076
itr: 209, G_loss : +0.206, D_loss_real : +0.188, D_loss_fake : +0.307
itr: 210, G_loss : -0.139, D_loss_real : +2.217, D_loss_fake : +0.734
itr: 211, G_loss : +0.066, D_loss_real : +0.497, D_loss_fake : +0.819
itr: 212, G_loss : +0.073, D_loss_real : +1.285, D_loss_fake : +0.454
itr: 213, G_loss : -0.223, D_loss_real : +1.406, D_loss_fake : +0.595
itr: 214, G_loss : +0.589, D_loss_real : +0.588, D_loss_fake : +0.066
itr: 215, G_loss : +0.100, D_loss_real : +1.250, D_loss_fake : +0.464
itr: 216, G_loss : -0.728, D_loss_real : +0.000, D_loss_fake : +2.567
itr: 217, G_loss : +3.035, D_loss_real : +0.000, D_loss_fake : +0.000
itr: 218, G_loss : +2.023, D_loss_real : +0.000, D_loss_fake : +0.000
itr: 219, G_loss : -0.684, D_loss_real : +0.001, D_loss_fake : +2.023
itr: 220, G_loss : -0.641, D_loss_real : +0.049, D_loss_fake : +1.763
itr: 221, G_loss : -0.568, D_loss_real : +0.394, D_loss_fake : +1.446
